name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,,,0,,,residential,2,-111.9442627,33.4302,,,boundary node created by osm2gmns
,1,5697244771,,,,,residential,0,-111.9442601,33.4299032,,,
,2,5697244757,,,,,residential,0,-111.9442568,33.4295279,,,
,3,41520506,,,,,tertiary,0,-111.9442567,33.4295155,,,
,4,41529691,traffic_signals,,signal,,tertiary,0,-111.9304264,33.4231268,,,
,5,330693951,,,,,residential,0,-111.930412,33.4231839,,,
,6,1501649070,,,,,residential,0,-111.9304005,33.4232277,,,
,7,6106985024,crossing,,,,residential,0,-111.9303882,33.423295,,,
,8,41529697,,,,,residential,0,-111.9290798,33.4242989,,,
,9,3101265641,,,,,residential,0,-111.9412665,33.4243385,,,
,10,6885482622,,,,,residential,0,-111.9407083,33.4243409,,,
,12,2626664037,,,,,residential,0,-111.9376334,33.4243567,,,
,13,6700916759,,,,,residential,0,-111.9375509,33.4243581,,,
,14,6700916754,,,,,residential,0,-111.9373581,33.4243583,,,
,15,5415311336,,,,,residential,0,-111.9367572,33.424359,,,
,16,41529813,,,,,residential,0,-111.936666,33.4243591,,,
,17,5415311335,,,,,residential,0,-111.9365605,33.4243597,,,
,18,5266139528,,,,,residential,0,-111.9362338,33.4243617,,,
,19,7071845839,,,,,residential,0,-111.9358561,33.4243639,,,
,20,5266139534,,,,,residential,0,-111.9355078,33.424366,,,
,21,7121895053,,,,,residential,0,-111.9353948,33.4243414,,,
,22,5300090339,,,,,residential,0,-111.9350964,33.4243366,,,
,23,316007232,traffic_signals,,signal,,tertiary,0,-111.9349809,33.4243346,,,
,24,41533533,,,,,primary,0,-111.9412608,33.4219305,,,
,25,7590725936,,,,,residential,0,-111.9412432,33.4213251,,,
,26,7809692863,,,,,residential,0,-111.9412418,33.4212879,,,
,27,863736785,,,,,residential,0,-111.9412404,33.4212296,,,
,28,7265020294,,,,,residential,0,-111.9412399,33.4211998,,,
,29,7265020288,,,,,residential,0,-111.94123,33.4205223,,,
,30,,,30,,,residential,2,-111.9424473,33.415,,,boundary node created by osm2gmns
,31,7121998412,,,,,residential,0,-111.9424522,33.4157881,,,
,32,7121998409,,,,,residential,0,-111.9424525,33.4159781,,,
,33,7978107675,,,,,residential,0,-111.9424528,33.4161632,,,
,34,41563458,,,,,residential,0,-111.9424528,33.4161904,,,
,35,6892811494,,,,,residential,0,-111.9424497,33.4169032,,,
,36,41563460,,,,,residential,0,-111.9424525,33.4176183,,,
,37,6892811496,,,,,residential,0,-111.9424524,33.4177004,,,
,38,7121998415,,,,,residential,0,-111.9424528,33.4184029,,,
,39,41563464,,,,,residential,0,-111.9423945,33.4190482,,,
,40,3580722895,,,,,residential,0,-111.9423658,33.4196106,,,
