name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Osborn Street,0,8614574,0,1,1,5.54,1,40,,residential,6,"LINESTRING (-71.0953482 42.3624257, -71.0953547 42.3623760)",walk;auto;bike,0,0,,
Osborn Street,1,8614574,1,2,1,47.41,1,40,,residential,6,"LINESTRING (-71.0953547 42.3623760, -71.0953819 42.3621674, -71.0954101 42.3619510)",walk;auto;bike,0,0,,
Osborn Street,2,8614574,2,3,1,93.86,1,40,,residential,6,"LINESTRING (-71.0954101 42.3619510, -71.0954168 42.3618993, -71.0955273 42.3611102)",walk;auto;bike,0,0,,
Osborn Street,3,8614574,3,4,1,8.13,1,40,,residential,6,"LINESTRING (-71.0955273 42.3611102, -71.0955375 42.3610374)",walk;auto;bike,0,0,,
Land Boulevard,4,8614583,5,6,1,18.83,2,40,,primary,3,"LINESTRING (-71.0783223 42.3626315, -71.0783083 42.3626882, -71.0783024 42.3627459, -71.0783018 42.3627990, -71.0783019 42.3628000)",walk;auto;bike,0,0,,
Corporal McTernan Street,5,8614587,7,8,1,0.82,1,40,,residential,6,"LINESTRING (-71.1080000 42.3611154, -71.1079923 42.3611108)",walk;auto;bike,0,0,,
Corporal McTernan Street,6,8614587,8,9,1,87.02,1,40,,residential,6,"LINESTRING (-71.1079923 42.3611108, -71.1071685 42.3606199)",walk;auto;bike,0,0,,
Corporal McTernan Street,7,8614587,9,10,1,6.25,1,40,,residential,6,"LINESTRING (-71.1071685 42.3606199, -71.1071100 42.3605840)",walk;auto;bike,0,0,,
Lawrence Street,8,8614618,11,12,1,5.57,1,40,,residential,6,"LINESTRING (-71.1065560 42.3610920, -71.1066086 42.3611235)",walk;auto;bike,0,0,,
Lawrence Street,9,8614618,12,13,1,80.24,1,40,,residential,6,"LINESTRING (-71.1066086 42.3611235, -71.1073665 42.3615777)",walk;auto;bike,0,0,,
Lawrence Street,10,8614618,13,14,1,57.47,1,40,,residential,6,"LINESTRING (-71.1073665 42.3615777, -71.1079035 42.3619083)",walk;auto;bike,0,0,,
Lawrence Street,11,8614618,14,15,1,5.89,1,40,,residential,6,"LINESTRING (-71.1079035 42.3619083, -71.1079586 42.3619421)",walk;auto;bike,0,0,,
Amesbury Street,12,8614808,16,17,1,11.21,1,,,unclassified,15,"LINESTRING (-71.1046257 42.3535672, -71.1046426 42.3536674)",walk;auto;bike,1,0,,
