name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,61329862,,,,,service,0,-71.0953482,42.3624257,,,
,1,7896983860,crossing,,,,residential,0,-71.0953547,42.362376,,,
,2,7703039113,,,,,residential,0,-71.0954101,42.361951,,,
,3,7866981441,crossing,,,,residential,0,-71.0955273,42.3611102,,,
,4,61327031,,,,,tertiary,0,-71.0955375,42.3610374,,,
,5,8522166092,,,,,primary,0,-71.0783223,42.3626315,,,
,6,,,6,,,primary,-1,-71.0783019,42.3628,,,boundary node created by osm2gmns
,7,,,7,,,residential,1,-71.108,42.3611154,,,boundary node created by osm2gmns
,8,621117424,,,,,residential,0,-71.1079923,42.3611108,,,
,9,7890165339,crossing,,,,residential,0,-71.1071685,42.3606199,,,
,10,61322877,,,,,tertiary,0,-71.10711,42.360584,,,
,11,61327028,,,,,tertiary,0,-71.106556,42.361092,,,
,12,7890165254,crossing,,,,residential,0,-71.1066086,42.3611235,,,
,13,621117407,,,,,residential,0,-71.1073665,42.3615777,,,
,14,7890165236,crossing,,,,residential,0,-71.1079035,42.3619083,,,
,15,61326985,,,,,tertiary,0,-71.1079586,42.3619421,,,
,16,61318066,,,,,primary,0,-71.1046257,42.3535672,,,
,17,7579230363,crossing,,,,unclassified,0,-71.1046426,42.3536674,,,
,18,7579230362,traffic_signals,,signal,,unclassified,0,-71.1046477,42.3536911,,,
,19,9633887983,,,,,unclassified,0,-71.1048129,42.3543236,,,
,20,9633887984,,,,,unclassified,0,-71.104842,42.3543889,,,
,21,9633887990,,,,,unclassified,0,-71.1050722,42.3547966,,,
,22,7890342969,crossing,,,,unclassified,0,-71.1052318,42.3549572,,,
,23,61317292,,,,,tertiary,0,-71.1052895,42.3550229,,,
,24,61317501,,,,,unclassified,0,-71.1048669,42.3565441,,,
,25,1706419105,crossing,,,,unclassified,0,-71.1048223,42.35652,,,
,26,61317503,,,,,unclassified,0,-71.104251,42.356213,,,
,27,61326972,,,,,primary,0,-71.0788447,42.3623391,,,
,28,277667346,,,,,primary,0,-71.0788922,42.3620912,,,
,29,61317476,,,,,tertiary,0,-71.1009714,42.3594843,,,
,30,7866947578,crossing,,,,service,0,-71.1009315,42.3595177,,,
,31,9281672632,,,,,service,0,-71.0996934,42.3600678,,,
,32,7866947582,crossing,,,,service,0,-71.0981506,42.3607217,,,
,33,61317478,,,,,service,0,-71.0981013,42.360739,,,
,34,61330593,,,,,residential,0,-71.104637,42.3622991,,,
,35,7884019593,crossing,,,,residential,0,-71.1046003,42.3623332,,,
,36,,,36,,,residential,-1,-71.1040993,42.3628,,,boundary node created by osm2gmns
,37,61326983,,,,,tertiary,0,-71.0941414,42.3616701,,,
,38,61326996,,,,,tertiary,0,-71.0941088,42.3616894,,,
