name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Brain and Cognitive Sciences (46),0,17660188,,university,,,,"POLYGON ((-71.0918336 42.3626834, -71.0906942 42.3625926, -71.09115300000001 42.3623728, -71.09108879999999 42.3622997, -71.0915406 42.3620832, -71.091454 42.3619845, -71.09184279999999 42.3617983, -71.092007 42.3619856, -71.09187850000001 42.3620471, -71.0920579 42.3622517, -71.0921338 42.3622154, -71.0923341 42.3624439, -71.0918336 42.3626834))",POINT (-71.0916251 42.3623448),6191.1,66640.3
18 Camille Edouard Dreyfus Building,1,24493980,,university,,,,"POLYGON ((-71.0901398 42.3603805, -71.0897744 42.3597773, -71.089715 42.3596792, -71.0895721 42.3597264, -71.0894813 42.3597565, -71.089575 42.359911, -71.0895821 42.3599229, -71.0898478 42.3603615, -71.0899069 42.360459, -71.0900753 42.3604033, -71.09008799999999 42.3604243, -71.0901418 42.3605132, -71.0901552 42.3605088, -71.09017129999999 42.3605035, -71.0901179 42.3604152, -71.0901041 42.3603923, -71.0901128 42.3603895, -71.0901398 42.3603805))",POINT (-71.0898169 42.3600765),1836.9,19772.0
54 Green Building,2,24493983,,university,,,,"POLYGON ((-71.08956329999999 42.3603152, -71.0894929 42.3601974, -71.0894555 42.3602096, -71.08945079999999 42.3602017, -71.08933020000001 42.360241, -71.0891491 42.3603001, -71.08915570000001 42.3603112, -71.08911759999999 42.3603236, -71.0891855 42.3604374, -71.0892279 42.3604236, -71.08923489999999 42.3604353, -71.0895271 42.36034, -71.0895206 42.3603292, -71.08956329999999 42.3603152))",POINT (-71.08934069999999 42.3603188),544.6,5862.1
W20 Stratton Student Center,3,24494019,,university,,,,"POLYGON ((-71.0953289 42.3590857, -71.0944374 42.3593825, -71.0942123 42.3590132, -71.09446749999999 42.3589282, -71.0948377 42.3588046, -71.0951036 42.3587161, -71.0953289 42.3590857))",POINT (-71.0947706 42.3590493),3623.0,38997.6
Kresge Auditorium,4,24494029,,university,auditorium,,,"POLYGON ((-71.09502860000001 42.3583942, -71.0949535 42.3583506, -71.0948999 42.358305, -71.09485429999999 42.3582555, -71.09481940000001 42.3582, -71.09478180000001 42.3581187, -71.0947711 42.3580474, -71.09477219999999 42.3579874, -71.0948666 42.3579684, -71.09496110000001 42.3579621, -71.09504680000001 42.3579621, -71.0951584 42.3579684, -71.0952442 42.3579874, -71.0953165 42.3580102, -71.09536439999999 42.3580319, -71.09535320000001 42.358089, -71.0953344 42.3581445, -71.0952995 42.3582019, -71.09524589999999 42.3582654, -71.0951788 42.3583189, -71.0950983 42.3583685, -71.09502860000001 42.3583942))",POINT (-71.09505489999999 42.3581426),1663.2,17902.4
Walker Memorial (50),5,24494050,,university,,,,"POLYGON ((-71.088652 42.3595341, -71.0883649 42.3590682, -71.0881761 42.3591318, -71.08795430000001 42.3592064, -71.0882414 42.3596722, -71.088652 42.3595341))",POINT (-71.0883032 42.3593702),2111.6,22728.8
E51,6,24494135,,university,,,,"POLYGON ((-71.0849675 42.3603118, -71.0848915 42.3601785, -71.0844879 42.3603159, -71.0844694 42.3602903, -71.0844827 42.3602793, -71.0844668 42.3602641, -71.084407 42.3602902, -71.08430300000001 42.3603196, -71.084315 42.3603359, -71.08437910000001 42.3603307, -71.0843838 42.3603464, -71.0841167 42.3604397, -71.0841619 42.3605134, -71.0841107 42.3605293, -71.08410379999999 42.3605161, -71.0840286 42.3605417, -71.0840372 42.3605547, -71.0839375 42.3605892, -71.0839436 42.3605993, -71.0839505 42.360611, -71.0841763 42.3605387, -71.08444919999999 42.3609754, -71.08454140000001 42.360946, -71.0846382 42.3609133, -71.0846476 42.3609284, -71.0847426 42.3610826, -71.0847595 42.3610768, -71.0847795 42.3610698, -71.0846784 42.3608994, -71.08473050000001 42.3608799, -71.0846688 42.3607781, -71.08464360000001 42.3607871, -71.0844586 42.3604817, -71.0849675 42.3603118))",POINT (-71.0844903 42.3605651),2517.9,27102.9
E52 - The Morris & Sophie Chang Building,7,24494137,,university,,,,"POLYGON ((-71.0839004 42.360527, -71.0835627 42.3606371, -71.08321220000001 42.3607513, -71.0832683 42.3608453, -71.0832992 42.3608971, -71.08331339999999 42.3609209, -71.0835294 42.3608505, -71.0836017 42.3608269, -71.08367699999999 42.3609531, -71.0839383 42.3608679, -71.08407699999999 42.3608227, -71.0839505 42.360611, -71.0839436 42.3605993, -71.0839375 42.3605892, -71.0839004 42.360527))",POINT (-71.0836771 42.3607544),1825.7,19651.9
Hermann Building,8,24494142,,university,,,,"POLYGON ((-71.083884 42.3612939, -71.0837856 42.3611293, -71.08368350000001 42.3609587, -71.0836072 42.3609836, -71.0832676 42.3610953, -71.0834704 42.3614293, -71.083884 42.3612939))",POINT (-71.0835763 42.3611941),1520.0,16361.6
E60 Arthur D. Little Bldg,9,24494174,,university,,,,"POLYGON ((-71.08245530000001 42.361146, -71.08244980000001 42.3611366, -71.0823822 42.3610227, -71.0818821 42.3611846, -71.0818924 42.361202, -71.0819529 42.3613039, -71.0819668 42.3612994, -71.08197850000001 42.3613192, -71.0820896 42.3612832, -71.0820803 42.3612675, -71.08238729999999 42.3611681, -71.0824021 42.3611633, -71.08245530000001 42.361146))",POINT (-71.0821651 42.3611687),690.9,7436.3
