name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,1329086484,,,,,tertiary,0,-122.2472725,37.8723175,,,
,1,,,1,,,tertiary,2,-122.247,37.8724109,,,boundary node created by osm2gmns
,2,35719172,,,,,residential,0,-122.2489158,37.8693077,,,
,3,309013663,,,,,residential,0,-122.2488444,37.8692422,,,
,4,35719176,,,,,residential,0,-122.2475516,37.8683913,,,
,5,,,5,,,residential,2,-122.2484052,37.8662,,,boundary node created by osm2gmns
,6,2508488948,,,,,residential,0,-122.2485123,37.8667797,,,
,7,8166321939,,,,,residential,0,-122.2489463,37.8671785,,,
,8,35719109,,,,,tertiary,0,-122.2497631,37.8693935,,,
,9,760874901,,,,,tertiary,0,-122.2497429,37.8700907,,,
,10,,,10,,,service,2,-122.2470078,37.8662,,,boundary node created by osm2gmns
,11,9867217692,,,,,service,0,-122.247073,37.8675411,,,
,12,35719237,,12,,,residential,2,-122.2473571,37.8704408,,,
,13,35719238,,,,,residential,0,-122.2476388,37.8703519,,,
,14,309009444,,,,,residential,0,-122.2486977,37.8699644,,,
,15,760665718,,,,,residential,0,-122.2478152,37.8694605,,,
,16,35719236,,,,,residential,0,-122.2476412,37.8699728,,,
,17,52980317,stop,,,,tertiary,0,-122.2528725,37.8729497,,,
,18,9347384501,,,,,service,0,-122.2528285,37.8728975,,,
,19,3647674075,,,,,service,0,-122.2522731,37.8724088,,,
,20,3647674073,,,,,service,0,-122.2521485,37.8723003,,,
,21,2438953231,,,,,cycleway,0,-122.2636334,37.8719421,,,
,22,282827449,,,,,cycleway,0,-122.2636459,37.8717299,,,
,23,1250596089,,,,,cycleway,0,-122.2636764,37.8713123,,,
,24,52987667,crossing,,,,unclassified,0,-122.2598888,37.8733702,,,
,25,1954723364,,,,,footway,0,-122.2598904,37.873444,,,
,26,1954723380,,,,,footway,0,-122.2598904,37.8734576,,,
,27,239669251,,,,,tertiary,0,-122.2659062,37.8701883,,,
,28,53006299,,,,,tertiary,0,-122.2657736,37.8701624,,,
,29,53006318,,,,,service,0,-122.2620664,37.8702461,,,
,30,342749251,,,,,footway,0,-122.2618547,37.8700928,,,
,31,53006319,,,,,footway,0,-122.2617708,37.8699769,,,
,32,237133508,,,,,service,0,-122.2631297,37.8746488,,,
,33,2327822466,,,,,service,0,-122.2631207,37.8746236,,,
,34,53010615,,,,,service,0,-122.2628627,37.8745459,,,
,35,53013898,turning_circle,,,,service,0,-122.2621588,37.8741009,,,
,36,237133880,,,,,service,0,-122.261831,37.8735734,,,
,37,3038364436,,,,,service,0,-122.2618688,37.8733141,,,
,38,3038356628,,,,,service,0,-122.2620171,37.8730565,,,
,39,419510378,,,,,service,0,-122.2620781,37.8728551,,,
,40,53013906,,,,,unclassified,0,-122.262091,37.8727947,,,
,41,53013929,,,,,service,0,-122.256841,37.8739975,,,
,42,4301518118,,,,,service,0,-122.2570936,37.873983,,,
,43,52980653,,,,,service,0,-122.2574619,37.8738506,,,
,44,8451378063,crossing,,,,service,0,-122.2574111,37.8735886,,,
Hearst Mining Circle,45,6561919467,,,,,service,0,-122.2573437,37.8734023,,,
,46,2687928588,,46,,,footway,1,-122.2595642,37.8727576,,,
,47,1419647402,,,,,footway,0,-122.2597006,37.872752,,,
,48,2687928586,,,,,footway,0,-122.2598178,37.8726917,,,
,49,53038506,,49,,,service,2,-122.2669225,37.8700753,,,
,50,309004936,,,,,service,0,-122.266377,37.8700674,,,
,51,53041097,traffic_signals,,signal,,tertiary,0,-122.2540846,37.8665637,,,
,52,8436435649,,,,,tertiary,0,-122.2543928,37.8665731,,,
,53,8436408300,,,,,tertiary,0,-122.2550412,37.8664896,,,
,54,8436435693,,,,,tertiary,0,-122.2552562,37.8664619,,,
,55,1250649453,,,,,tertiary,0,-122.2554042,37.8664429,,,
,56,1250649464,,,,,tertiary,0,-122.2556643,37.8664091,,,
,57,53041095,,,,,residential,0,-122.2563664,37.8663194,,,
,58,53010160,,,,,service,0,-122.2586363,37.8703296,,,
,59,4188788146,crossing,,,,service,0,-122.2585784,37.8703419,,,
,60,282828689,,,,,service,0,-122.2582879,37.870422,,,
,61,53041110,,,,,service,0,-122.2579763,37.8705296,,,
,62,53048389,,,,,unclassified,0,-122.2586421,37.8727651,,,
,63,4188788129,crossing,,,,unclassified,0,-122.2586219,37.8727152,,,
,64,260556515,crossing,,,,unclassified,0,-122.2585763,37.8725891,,,
,65,2328750657,,,,,unclassified,0,-122.2583345,37.8719339,,,
,66,342746635,,,,,unclassified,0,-122.2582683,37.8717589,,,
,67,1250624796,,,,,unclassified,0,-122.2582211,37.8716412,,,
,68,346449358,,,,,unclassified,0,-122.2581834,37.8715464,,,
,69,4188788153,crossing,,,,unclassified,0,-122.2581073,37.8713651,,,
,70,346449485,,,,,unclassified,0,-122.2580802,37.8712992,,,
,71,52991832,,,,,service,0,-122.2580568,37.8712562,,,
,72,3177154981,,,,,service,0,-122.2502029,37.8694014,,,
,73,3177154980,,,,,service,0,-122.2500615,37.8694532,,,
,74,53034977,,,,,tertiary,0,-122.253751,37.8725453,,,
,75,4303570245,crossing,,,,tertiary,0,-122.2537012,37.8725103,,,
,76,9347384606,,,,,tertiary,0,-122.2529055,37.8718542,,,
,77,53011953,,,,,tertiary,0,-122.2528602,37.8717976,,,
,78,53057811,,,,,residential,0,-122.2496935,37.8690026,,,
,79,53057813,,,,,footway,0,-122.2493072,37.8690748,,,
,80,53058932,,,,,residential,0,-122.2508478,37.8679177,,,
,81,5483223590,,,,,residential,0,-122.2506426,37.8668084,,,
,82,9867223377,,,,,residential,0,-122.250607,37.8666184,,,
,83,,,83,,,residential,2,-122.2505304,37.8662,,,boundary node created by osm2gmns
,84,,,84,,,residential,2,-122.2626827,37.8774,,,boundary node created by osm2gmns
,85,4616420905,,,,,residential,0,-122.2626337,37.8771654,,,
,86,532751352,,,,,residential,0,-122.2626093,37.8770496,,,
,87,339928551,crossing,,,,residential,0,-122.262463,37.8763589,,,
,88,2010214253,,,,,residential,0,-122.2624316,37.876276,,,
,89,267631972,,,,,tertiary,0,-122.2519936,37.8676393,,,
,90,5483223606,,,,,tertiary,0,-122.2518657,37.8671158,,,
,91,267632012,,,,,tertiary,0,-122.2518331,37.8668074,,,
,92,53073464,traffic_signals,,signal,,residential,0,-122.2567255,37.8681041,,,
,93,4279441433,crossing,,,,residential,0,-122.2567106,37.8680283,,,
,94,3694454044,,,,,residential,0,-122.256646,37.8676987,,,
,95,53063556,,,,,residential,0,-122.2565495,37.8672067,,,
,96,,,96,,,residential,2,-122.256342,37.8662,,,boundary node created by osm2gmns
,97,53076888,,,,,residential,0,-122.2668618,37.8713586,,,
,98,411666787,,,,,residential,0,-122.2670091,37.8713405,,,
,99,282832036,,,,,footway,0,-122.260033,37.8730382,,,
,100,234653487,,,,,footway,0,-122.2601186,37.8727853,,,
,101,10067828700,,,,,footway,0,-122.2601864,37.8726242,,,
,102,1250624773,,,,,footway,0,-122.2601801,37.8724422,,,
,103,234653448,,,,,footway,0,-122.2601719,37.8723768,,,
,104,53063551,,,,,residential,0,-122.2633648,37.8663318,,,
,105,5483224055,,,,,residential,0,-122.2634727,37.8668476,,,
,106,2438953053,,,,,unclassified,0,-122.2634907,37.8722849,,,
,107,53034136,crossing,,,,unclassified,0,-122.2629823,37.872648,,,
,108,260908787,,,,,unclassified,0,-122.2628689,37.8727063,,,
,109,53090675,traffic_signals,,signal,,tertiary,0,-122.2544449,37.8683449,,,
,110,4210484503,crossing,,,,tertiary,0,-122.2544601,37.8684274,,,
,111,4210484535,crossing,,,,tertiary,0,-122.2545956,37.8692329,,,
,112,1993196224,,,,,tertiary,0,-122.254608,37.8692976,,,
,113,,,113,,,residential,2,-122.2695,37.8664568,,,boundary node created by osm2gmns
,114,5483224232,,,,,residential,0,-122.26923,37.8664913,,,
,115,5483224236,,,,,residential,0,-122.2686996,37.8665583,,,
,116,4207718076,,,,,residential,0,-122.2682673,37.8666144,,,
,117,2086667333,crossing,,,,residential,0,-122.2679032,37.8666621,,,
,119,2327822491,traffic_signals,,signal,,tertiary,0,-122.2639232,37.8745901,,,
,120,231029119,,,,,residential,0,-122.2638003,37.8747633,,,
,121,2010268535,,,,,residential,0,-122.2628697,37.8757955,,,
,122,2010214231,crossing,,,,residential,0,-122.2625311,37.876168,,,
,123,2010214229,crossing,,,,residential,0,-122.2623334,37.8763861,,,
,124,1954704140,,,,,residential,0,-122.2607736,37.876921,,,
,125,53107080,stop,,,,residential,0,-122.26053,37.876953,,,
,126,1954561464,,,,,residential,0,-122.2598524,37.8770422,,,
,127,1954579342,,,,,residential,0,-122.2594845,37.8770906,,,
,128,53107081,stop,,,,residential,0,-122.2587108,37.8771936,,,
,129,239501147,,,,,residential,0,-122.2583513,37.8772364,,,
,130,4188788145,crossing,,,,service,0,-122.2586249,37.8702755,,,
,131,361375115,,,,,service,0,-122.2586195,37.8702477,,,
,132,53113774,,,,,residential,0,-122.269316,37.8692027,,,
,133,5641539629,crossing,,,,residential,0,-122.2691485,37.8683896,,,
,134,53113776,stop,,,,residential,0,-122.2691351,37.8683252,,,
,135,53120084,,,,,unclassified,0,-122.2649945,37.8716724,,,
,136,1419647319,crossing,,,,unclassified,0,-122.2649852,37.8716012,,,
,137,4756285064,,,,,unclassified,0,-122.2649915,37.8714605,,,
,138,53120088,,,,,unclassified,0,-122.2655325,37.8706661,,,
,140,6562055675,,,,,tertiary,0,-122.2551054,37.8735289,,,
,141,4301522660,crossing,,,,tertiary,0,-122.2550911,37.8735149,,,
,142,462762995,crossing,,,,tertiary,0,-122.2545681,37.8730111,,,
,143,4303570256,crossing,,,,tertiary,0,-122.2538748,37.8726352,,,
,145,9234113660,,,,,tertiary,0,-122.2658649,37.86769,,,
,146,3572591893,,,,,residential,0,-122.2560396,37.8770535,,,
,147,53129312,,,,,residential,0,-122.2558881,37.876603,,,
,148,53042667,,,,,residential,0,-122.2670585,37.8732493,,,
,149,53116974,,,,,residential,0,-122.2668808,37.8723901,,,
,150,53143773,,,,,unclassified,0,-122.2538614,37.8751025,,,
,151,53143775,crossing,,,,unclassified,0,-122.2530746,37.8747407,,,
,152,3256182001,,,,,unclassified,0,-122.2522124,37.8746542,,,
,153,7779828763,,,,,unclassified,0,-122.2526317,37.8749134,,,
,154,7779828769,,,,,unclassified,0,-122.2527723,37.8750018,,,
,155,53147743,,,,,residential,0,-122.2484821,37.8680727,,,
,156,309013549,,,,,residential,0,-122.2489519,37.8692395,,,
,157,,,157,,,tertiary,2,-122.2606272,37.8774,,,boundary node created by osm2gmns
,158,1954704176,,,,,tertiary,0,-122.2604345,37.8764719,,,
,159,5483224034,,,,,tertiary,0,-122.2604087,37.8763427,,,
,160,53148316,stop,,,,tertiary,0,-122.260346,37.8760318,,,
,161,1281866063,,,,,tertiary,0,-122.2602582,37.8756072,,,
,162,53055202,traffic_signals,,signal,,tertiary,0,-122.2601516,37.8750816,,,
,164,2086696681,crossing,,,,residential,0,-122.2676618,37.8685334,,,
,165,3793693384,,,,,residential,0,-122.2669473,37.8686232,,,
,166,3064295837,,,,,residential,0,-122.2667185,37.8686519,,,
,167,239669244,,,,,residential,0,-122.2662643,37.8687079,,,
,168,,,168,,,residential,2,-122.2695,37.8673761,,,boundary node created by osm2gmns
,169,5629687691,,,,,residential,0,-122.2690351,37.8674357,,,
,170,4207718792,,,,,residential,0,-122.2684629,37.867509,,,
,171,2086667321,crossing,,,,residential,0,-122.267991,37.8675703,,,
,173,53055618,,,,,residential,0,-122.2521538,37.8691718,,,
,174,53058930,,,,,residential,0,-122.2509487,37.8693042,,,
,175,53006324,traffic_signals,,signal,,secondary,0,-122.2614643,37.8684163,,,
,176,2398969516,crossing,,,,tertiary,0,-122.2614477,37.8683461,,,
,177,4279441427,crossing,,,,tertiary,0,-122.2612919,37.8676052,,,
,178,53103804,traffic_signals,,signal,,tertiary,0,-122.2612746,37.8675207,,,
,179,35719102,,,,,residential,0,-122.2495786,37.8673889,,,
,180,35725886,,,,,residential,0,-122.2492395,37.8677876,,,
,181,35725887,,181,,,residential,2,-122.2489109,37.8676961,,,
,182,462761676,,,,,tertiary,0,-122.2535119,37.8727095,,,
,183,56819228,,,,,residential,0,-122.2506769,37.8679413,,,
,184,56819292,,,,,residential,0,-122.2516994,37.8678093,,,
,185,4927407478,,,,,residential,0,-122.2513151,37.8678593,,,
,186,5483223567,,,,,residential,0,-122.2512141,37.8678719,,,
,187,,,187,,,residential,2,-122.2695,37.8746946,,,boundary node created by osm2gmns
,188,239616956,,,,,residential,0,-122.2687534,37.8747886,,,
,189,53093350,,,,,residential,0,-122.2686444,37.8748023,,,
,190,53093351,,,,,residential,0,-122.2675987,37.8749314,,,
,191,53021367,stop,,,,residential,0,-122.2570401,37.8764658,,,
,192,555960513,,,,,residential,0,-122.2569543,37.8760926,,,
,193,1333176944,,,,,residential,0,-122.2568941,37.8758045,,,
,194,53021369,traffic_signals,,signal,,residential,0,-122.2568043,37.8755256,,,
,195,270623226,,,,,service,0,-122.2539391,37.8749869,,,
,196,462761559,,,,,service,0,-122.2534011,37.8744748,,,
,197,283055027,,,,,service,0,-122.253322,37.8744161,,,
,198,59942751,,,,,service,0,-122.2531225,37.8742883,,,
,199,270623222,,,,,service,0,-122.2531902,37.8742093,,,
,200,283053127,,,,,service,0,-122.2518314,37.8736025,,,
,201,7782302829,,,,,service,0,-122.2531797,37.8754448,,,
,202,4591519093,,,,,unclassified,0,-122.253641,37.8759014,,,
,203,4591519094,,,,,service,0,-122.2538008,37.8759783,,,
,204,59942795,,,,,service,0,-122.2499446,37.8771634,,,
,205,775889061,,,,,service,0,-122.2496187,37.8769742,,,
,206,775889066,,,,,service,0,-122.2500628,37.8764385,,,
,207,3841459256,,,,,service,0,-122.2501327,37.8763602,,,
,208,4612767642,,,,,service,0,-122.2502789,37.8761049,,,
,209,775889015,,,,,service,0,-122.2501319,37.8755228,,,
,210,3841459366,,,,,service,0,-122.2500051,37.8754664,,,
,211,775888858,,,,,service,0,-122.2494852,37.8749627,,,
,212,59942818,,,,,service,0,-122.2472115,37.8751644,,,
,213,,,213,,,service,2,-122.247,37.8752276,,,boundary node created by osm2gmns
,214,,,214,,,service,2,-122.2483409,37.8774,,,boundary node created by osm2gmns
,215,59942903,,,,,service,0,-122.2481247,37.8771581,,,
,216,59942902,,,,,service,0,-122.2482014,37.8770312,,,
,217,59942817,,,,,service,0,-122.2476805,37.8753786,,,
,218,7796210056,,,,,unclassified,0,-122.2484021,37.8765782,,,
,219,59942905,,219,,,unclassified,2,-122.2484949,37.8763002,,,
,220,53124035,,,,,tertiary,0,-122.2661771,37.8687189,,,
,221,3793693386,crossing,,,,tertiary,0,-122.26619,37.8687825,,,
,222,53115350,,,,,tertiary,0,-122.2657584,37.8696451,,,
,223,3515605748,crossing,,,,tertiary,0,-122.2657391,37.8697321,,,
,224,4168207050,,,,,tertiary,0,-122.2657737,37.8702319,,,
,225,,,225,,,tertiary,2,-122.2667259,37.8774,,,boundary node created by osm2gmns
,226,5483072358,,,,,tertiary,0,-122.2667172,37.8773233,,,
,227,53091870,,,,,tertiary,0,-122.2666677,37.8768836,,,
,228,5483224062,,,,,tertiary,0,-122.2665716,37.8760232,,,
,229,314077164,,,,,tertiary,0,-122.2663942,37.8746012,,,
,230,5483224077,,,,,residential,0,-122.2657802,37.8667971,,,
,231,5483224082,,,,,residential,0,-122.2657284,37.8665371,,,
,232,10179914335,,,,,residential,0,-122.2656992,37.8663854,,,
,233,10179914333,,,,,residential,0,-122.2656819,37.8662378,,,
,234,9234069692,,,,,residential,0,-122.2656833,37.8662178,,,
,235,53055616,,,,,tertiary,0,-122.252188,37.8696025,,,
,236,267631998,,,,,tertiary,0,-122.2523104,37.8695936,,,
,238,2086696505,crossing,,,,secondary,0,-122.2674619,37.8667223,,,
,239,5483224094,,,,,secondary,0,-122.2669849,37.8667837,,,
,240,5629687682,,,,,secondary,0,-122.2668421,37.8668026,,,
,241,5483224089,,,,,secondary,0,-122.2665975,37.8668344,,,
,242,4168189939,,,,,secondary,0,-122.2661826,37.8668882,,,
,243,260910353,crossing,,,,tertiary,0,-122.254824,37.8692688,,,
,244,5483223616,,,,,tertiary,0,-122.2553441,37.8692032,,,
,245,3178364013,,,,,tertiary,0,-122.2553977,37.8691958,,,
,246,3178364019,,,,,tertiary,0,-122.2559136,37.8691281,,,
,247,260910347,,,,,tertiary,0,-122.2560803,37.8691064,,,
,248,4279441452,crossing,,,,tertiary,0,-122.2568376,37.8690102,,,
,249,53073462,,,,,tertiary,0,-122.2569155,37.8690003,,,
,250,4279441451,crossing,,,,tertiary,0,-122.2569969,37.8689897,,,
,251,4279441448,crossing,,,,tertiary,0,-122.2582758,37.8688231,,,
,252,53111679,,,,,tertiary,0,-122.2583514,37.8688131,,,
,253,4927407472,,,,,tertiary,0,-122.2532266,37.8684882,,,
,254,1964475027,,,,,tertiary,0,-122.2528179,37.8685883,,,
,255,5483223605,,,,,tertiary,0,-122.2527182,37.8686084,,,
,256,267631979,,,,,tertiary,0,-122.2526011,37.868632,,,
,257,260908845,,,,,residential,0,-122.2565276,37.8755538,,,
,258,53055203,,,,,residential,0,-122.2556866,37.8756667,,,
,259,2427751945,,,,,footway,0,-122.2649366,37.8706945,,,
,260,53042665,,,,,secondary,0,-122.2684905,37.8730308,,,
,261,4168189957,,,,,secondary,0,-122.2684907,37.8734638,,,
,262,8451378032,,,,,footway,0,-122.2587729,37.8709286,,,
,263,3207730949,,,,,footway,0,-122.2593734,37.8707808,,,
,264,52991834,,,,,footway,0,-122.2596192,37.8707314,,,
,265,346447166,,,,,footway,0,-122.2617345,37.8701809,,,
,266,346447214,,,,,footway,0,-122.2614169,37.8700047,,,
,267,3207782881,,,,,service,0,-122.2633071,37.8706903,,,
,268,9913544650,,,,,service,0,-122.2631634,37.8707425,,,
,269,230962028,,,,,service,0,-122.2631056,37.8707599,,,
,270,234653553,,,,,service,0,-122.2590735,37.8746717,,,
,271,4301518098,,,,,service,0,-122.2592602,37.8746573,,,
,272,4301518129,,,,,service,0,-122.2595054,37.8746414,,,
,273,52987672,,,,,service,0,-122.2600538,37.8746059,,,
,274,234653534,,,,,service,0,-122.2601622,37.8746065,,,
,275,234653500,,,,,service,0,-122.2602759,37.874887,,,
,276,234653604,,,,,service,0,-122.2610909,37.8742387,,,
