name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
People's Park,0,7805676,,,,park,,"POLYGON ((-122.2578449 37.8652905, -122.2579297 37.865694, -122.2579977 37.8660291, -122.2564346 37.8662351, -122.2562887 37.865483, -122.2578449 37.8652905))",POINT (-122.2571397 37.86576),11639.6,125287.9
Etcheverry Hall,1,24024292,,university,,,,"POLYGON ((-122.2594126 37.8760025, -122.2595014 37.8759912, -122.2593654 37.8753309, -122.2592839 37.8753421, -122.2592812 37.8753291, -122.2591214 37.8753497, -122.2591243 37.875364, -122.2590534 37.8753737, -122.2591889 37.8760312, -122.2592668 37.8760212, -122.2592711 37.8760421, -122.2594169 37.8760234, -122.2594126 37.8760025))",POINT (-122.2592775 37.8756832),2114.6,22761.0
C V Starr East Asian Library,2,24024349,,yes,library,,,"POLYGON ((-122.2607086 37.8735825, -122.2606227 37.8733487, -122.2599782 37.8734962, -122.2600059 37.8735717, -122.2600342 37.8736487, -122.2600641 37.8737301, -122.2602893 37.8736785, -122.2607086 37.8735825))",POINT (-122.2603434 37.8735394),1594.3,17160.6
Sutardja Dai Hall (CITRIS),3,24024350,,university,,,,"POLYGON ((-122.2585168 37.8751298, -122.2584423 37.8749088, -122.2584783 37.8749007, -122.2587663 37.8748364, -122.2586695 37.8745761, -122.2580606 37.8747101, -122.2580736 37.8747467, -122.2580764 37.8747561, -122.2580336 37.8747683, -122.2580483 37.8748076, -122.2581003 37.8749482, -122.2581128 37.8749458, -122.2581919 37.875157, -122.2582452 37.8752189, -122.25835 37.8751803, -122.2583485 37.8751722, -122.2584534 37.875155, -122.2584504 37.8751399, -122.2585168 37.8751298))",POINT (-122.258374 37.874862),2529.8,27230.0
Davis Hall,4,24024351,,university,,,,"POLYGON ((-122.2586695 37.8745761, -122.2586054 37.8744073, -122.258568 37.8743042, -122.2578846 37.8744573, -122.2579829 37.8747272, -122.2579935 37.8747249, -122.2580606 37.8747101, -122.2586695 37.8745761))",POINT (-122.2582766 37.8745162),1957.5,21070.6
Hearst Memorial Mining Building,5,24024353,,university,,,,"POLYGON ((-122.2576581 37.8746011, -122.2575641 37.8743527, -122.2574624 37.8740905, -122.2573245 37.8741228, -122.2573217 37.8741154, -122.2571642 37.8741529, -122.2570179 37.8741848, -122.2570212 37.8741959, -122.2568716 37.8742277, -122.2570533 37.8747359, -122.2571241 37.8747211, -122.257161 37.8748185, -122.2575963 37.8747158, -122.2575615 37.8746239, -122.2576581 37.8746011))",POINT (-122.2572736 37.8744497),3688.7,39704.7
Campbell Hall,6,24024499,,yes,,,,"POLYGON ((-122.2572997 37.8730994, -122.2572663 37.8730129, -122.2573089 37.8730026, -122.2572406 37.8728255, -122.2571913 37.8728373, -122.2571719 37.872787, -122.2569869 37.8728315, -122.2568654 37.8728607, -122.2569866 37.8731746, -122.2572997 37.8730994))",POINT (-122.2570945 37.8729762),1125.1,12110.6
Physics North & Physics South,7,24024500,,university,,,,"POLYGON ((-122.2573759 37.8729812, -122.2574873 37.8729546, -122.2576542 37.8729152, -122.25756 37.8726685, -122.2574673 37.8724222, -122.2572941 37.8724629, -122.257178 37.8724895, -122.2571928 37.8725297, -122.2570508 37.8725622, -122.2569662 37.8723317, -122.2569216 37.8722111, -122.2566081 37.8722832, -122.256654 37.8724095, -122.2567545 37.8726815, -122.2567968 37.8727942, -122.2569586 37.8727569, -122.2571075 37.8727223, -122.2572632 37.8726853, -122.2573759 37.8729812))",POINT (-122.2571218 37.8725967),3419.4,36806.4
Birge Hall,8,24024501,,university,,,,"POLYGON ((-122.2570651 37.8723953, -122.2572525 37.8723535, -122.2575032 37.8722977, -122.2574094 37.8720353, -122.2569713 37.8721329, -122.2570357 37.8723131, -122.2570651 37.8723953))",POINT (-122.2572372 37.8722153),1211.0,13035.0
Latimer Hall,9,24024502,,yes,,,,"POLYGON ((-122.2562885 37.87319, -122.2561845 37.8729012, -122.2555465 37.8730437, -122.2555935 37.8731732, -122.2556094 37.8732196, -122.2556265 37.8732666, -122.2556505 37.8733325, -122.2562885 37.87319))",POINT (-122.2559175 37.8731169),1942.6,20909.7
