name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,308183265,traffic_signals,,signal,,tertiary,0,132.7166393,34.4057888,,,
,1,1130366979,,,,,tertiary,0,132.7177858,34.4060076,,,
,2,,,2,,,tertiary,-1,132.7197,34.4063258,,,boundary node created by osm2gmns
,3,,,3,,,tertiary,1,132.7197,34.406254,,,boundary node created by osm2gmns
,4,268182694,traffic_signals,,signal,,tertiary,0,132.7145529,34.4054976,,,
,5,5245596021,,,,,service,0,132.7145381,34.4053089,,,
,6,1307414630,,,,,service,0,132.7145244,34.4047002,,,
,7,4005445375,,,,,service,0,132.714498,34.4040285,,,
,8,4005445380,,,,,service,0,132.7144936,34.4038715,,,
,9,4005522387,,,,,service,0,132.7149443,34.4026596,,,
,10,4005524489,,,,,service,0,132.7143321,34.4022525,,,
,11,,,11,,,tertiary,2,132.7163606,34.4065,,,boundary node created by osm2gmns
,12,4102447757,,,,,tertiary,0,132.7164723,34.4062007,,,
,13,567319689,traffic_signals,,signal,,tertiary,0,132.7172023,34.3972379,,,
,14,4281527526,,,,,tertiary,0,132.7173213,34.3972977,,,
,15,3752303128,,,,,tertiary,0,132.7186418,34.3969054,,,
,16,,,16,,,tertiary,2,132.7197,34.3964827,,,boundary node created by osm2gmns
,17,,,17,,,residential,2,132.7170097,34.4065,,,boundary node created by osm2gmns
,18,4280248609,,,,,residential,0,132.7178089,34.4060673,,,
,19,,,19,,,unclassified,2,132.7128169,34.4065,,,boundary node created by osm2gmns
,20,4102447596,,,,,unclassified,0,132.7126471,34.405851,,,
,21,273265999,,,,,primary,0,132.7084428,34.4007227,,,
,22,,,22,,,tertiary,2,132.7074,34.4002287,,,boundary node created by osm2gmns
,23,1301375474,,,,,tertiary,0,132.714335,34.397498,,,
,24,1301363175,,,,,tertiary,0,132.7163105,34.3968894,,,
,25,1301382016,,,,,tertiary,0,132.713104,34.397543,,,
,26,1301390280,,,,,tertiary,0,132.711129,34.397062,,,
,27,4005444681,,,,,tertiary,0,132.7109031,34.3969843,,,
,28,5247439037,crossing,,,,tertiary,0,132.7104677,34.3968324,,,
,29,273266004,,,,,primary,0,132.7102863,34.3967159,,,
,30,4281527259,,,,,tertiary,0,132.7170724,34.3971624,,,
,31,1301365400,,,,,tertiary,0,132.7113876,34.3971556,,,
,32,1301390709,,,,,tertiary,0,132.712971,34.3975233,,,
,33,5247439035,crossing,,,,tertiary,0,132.7112143,34.3970929,,,
,34,8209877689,crossing,,,,service,0,132.7146569,34.4047146,,,
,35,4281527238,,,,,service,0,132.7148981,34.4046974,,,
,36,4281527231,,,,,service,0,132.7151456,34.4048719,,,
,37,4281527228,,,,,service,0,132.7157556,34.404966,,,
,38,1307418567,,,,,service,0,132.716492,34.403998,,,
,39,8209877675,,,,,service,0,132.7169578,34.4036553,,,
,40,1307415088,,,,,service,0,132.717024,34.403602,,,
,41,567283902,,,,,service,0,132.714778,34.4015498,,,
,42,4005534792,,,,,service,0,132.7147411,34.3989131,,,
,43,1307415313,,,,,service,0,132.714378,34.398288,,,
,44,1307415933,,,,,service,0,132.7109824,34.3972804,,,
,45,5250465228,,,,,service,0,132.7100732,34.3989392,,,
,46,4005445030,,,,,service,0,132.710062,34.399296,,,
,47,1307415994,,,,,service,0,132.7099884,34.4008873,,,
,48,1910803876,,,,,residential,0,132.7131325,34.3930013,,,
,49,4005534850,,,,,service,0,132.7129278,34.3932923,,,
,50,4005534848,,,,,service,0,132.7122017,34.3935127,,,
,51,4005534842,,,,,service,0,132.7118447,34.3952869,,,
,52,1307418323,,,,,service,0,132.711568,34.396392,,,
,53,4005444687,,,,,service,0,132.7115756,34.3966947,,,
,54,1307415137,,,,,service,0,132.7113727,34.3973302,,,
,55,1307415273,,,,,service,0,132.710763,34.404811,,,
,56,1928824323,,,,,service,0,132.7124968,34.4047136,,,
,57,1307414314,,,,,service,0,132.7126114,34.4047056,,,
,58,1307415229,,,,,unclassified,0,132.7159233,34.3937549,,,
,59,3752302935,,,,,unclassified,0,132.7176757,34.3943123,,,
,60,1307421195,,,,,service,0,132.7162545,34.3964894,,,
,61,3752303079,,,,,service,0,132.7169848,34.3965266,,,
,62,4285798259,,,,,service,0,132.7169816,34.3963742,,,
,63,3752303052,,,,,service,0,132.7169767,34.39614,,,
,64,3752303037,,,,,service,0,132.7169718,34.3959096,,,
,65,3752303023,,,,,service,0,132.716967,34.3956776,,,
,66,3752303007,,,,,service,0,132.7169622,34.39545,,,
,67,3752302981,,67,,,service,2,132.7176016,34.3951482,,,
,68,1307419895,,,,,residential,0,132.7145209,34.4059482,,,
,69,1307414171,,,,,residential,0,132.7148493,34.4062778,,,
,70,,,70,,,residential,2,132.7150315,34.4065,,,boundary node created by osm2gmns
,71,,,71,,,unclassified,2,132.711927,34.4065,,,boundary node created by osm2gmns
,72,4102447594,,,,,unclassified,0,132.7117684,34.4058938,,,
,73,1307416393,,,,,unclassified,0,132.711736,34.4057788,,,
,74,1307414753,,,,,tertiary,0,132.71172,34.4056898,,,
,75,1307414286,,,,,primary,0,132.7115694,34.3926114,,,
,76,1910804502,,76,,,residential,2,132.7152385,34.3921073,,,
,77,4285807409,,,,,service,0,132.7163095,34.396815,,,
,78,1307417157,,,,,service,0,132.71102,34.397692,,,
,79,4005444688,,,,,service,0,132.7111313,34.3978259,,,
,80,1307414471,,,,,service,0,132.7118257,34.3985131,,,
,81,4005413362,,,,,service,0,132.7119368,34.3985141,,,
,82,1307417054,,,,,service,0,132.7099961,34.4024351,,,
,83,3623306449,,,,,service,0,132.7108678,34.4026771,,,
,84,1307415896,,84,,,service,2,132.710873,34.402839,,,
,85,1307415399,,,,,residential,0,132.7175091,34.3939929,,,
,86,,,86,,,residential,2,132.7184426,34.3917,,,boundary node created by osm2gmns
,87,8223661661,,,,,service,0,132.7099123,34.4024463,,,
,88,4005445077,,,,,service,0,132.7093519,34.4030178,,,
,89,8226362724,,,,,service,0,132.7093385,34.4034752,,,
,90,8223661643,,,,,service,0,132.7093279,34.4038099,,,
,91,4005522367,,,,,service,0,132.71052,34.4040337,,,
,92,4005522362,,,,,service,0,132.710713,34.4041984,,,
,93,1307414350,,,,,service,0,132.710738,34.4042774,,,
,94,5245995422,,,,,residential,0,132.7175561,34.3940432,,,
,95,1307419385,,,,,tertiary,0,132.7173504,34.4036379,,,
,96,4281527513,,,,,unclassified,0,132.7174295,34.4036608,,,
,97,,,97,,,unclassified,2,132.7197,34.4031902,,,boundary node created by osm2gmns
,98,1307418533,,,,,service,0,132.716004,34.398314,,,
,99,4476029652,,,,,service,0,132.7160118,34.3978997,,,
,100,4476029619,,,,,service,0,132.7160156,34.3976933,,,
,101,1307416467,,101,,,service,2,132.716024,34.397247,,,
,102,1307416632,,,,,residential,0,132.70798,34.4022114,,,
,103,1307419695,,,,,residential,0,132.707417,34.401936,,,
,104,1595590093,,,,,residential,0,132.708122,34.403866,,,
,105,1307418861,,,,,tertiary,0,132.7190904,34.3930743,,,
,106,5245995510,,,,,residential,0,132.719195,34.3930975,,,
,107,,,107,,,residential,2,132.7197,34.3939645,,,boundary node created by osm2gmns
,108,1307415158,,,,,service,0,132.716282,34.403334,,,
,109,6517642090,,,,,service,0,132.716916,34.403571,,,
,110,1307414924,,,,,service,0,132.714358,34.398208,,,
,111,,,111,,,residential,2,132.7135779,34.4065,,,boundary node created by osm2gmns
,112,1307418339,,,,,residential,0,132.7138564,34.4061402,,,
,113,1307414652,,,,,service,0,132.715735,34.398242,,,
,114,1130366985,,,,,tertiary,0,132.7126169,34.405597,,,
,115,5245596022,,,,,service,0,132.7126208,34.4054468,,,
,116,5245595820,,,,,service,0,132.7127168,34.4047053,,,
,117,1928824967,,,,,service,0,132.7129698,34.4047046,,,
,118,8223663339,,,,,service,0,132.713308,34.4047043,,,
,119,4005445355,,,,,service,0,132.7137629,34.4047023,,,
,120,1307418494,,,,,service,0,132.7144253,34.4047005,,,
,121,1307415032,,,,,tertiary,0,132.7092391,34.4054075,,,
,122,4280235816,,,,,residential,0,132.7092292,34.4055168,,,
,123,,,123,,,residential,2,132.7093185,34.4065,,,boundary node created by osm2gmns
,124,1307414264,,,,,tertiary,0,132.7152889,34.4055725,,,
,125,4102447717,,,,,tertiary,0,132.7127949,34.4055908,,,
,126,4102447710,,,,,tertiary,0,132.712435,34.4056064,,,
,127,268204301,,,,,tertiary,0,132.7104576,34.4057446,,,
,128,273719248,,,,,tertiary,0,132.7084517,34.4050214,,,
,129,8226406492,,,,,service,0,132.7155278,34.4015366,,,
,130,4005534794,,,,,service,0,132.715564,34.3989219,,,
,131,4285810281,,,,,service,0,132.7110674,34.3971538,,,
,132,1307414490,,132,,,service,2,132.7107409,34.405385,,,
,133,4280235809,,,,,residential,0,132.7153068,34.4056411,,,
,134,5245995420,,,,,unclassified,0,132.7188445,34.3934971,,,
,135,1307417484,,,,,tertiary,0,132.7189606,34.3935001,,,
,136,1910082111,,136,,,service,2,132.7145753,34.3954725,,,
,137,1910082116,,,,,service,0,132.7159217,34.3954548,,,
,138,3752303049,,,,,service,0,132.7162114,34.3960883,,,
,139,1307420835,,139,,,residential,2,132.7131149,34.3918412,,,
,140,,,140,,,residential,2,132.7131963,34.3917,,,boundary node created by osm2gmns
,141,4005534798,,,,,service,0,132.7143488,34.3979235,,,
,142,4285807431,,,,,service,0,132.7143374,34.3975733,,,
,143,4285807416,,,,,service,0,132.7143417,34.397425,,,
,144,1909955609,,,,,service,0,132.7143617,34.3965572,,,
,145,1307414419,,,,,service,0,132.7099895,34.4018534,,,
,146,8226362731,,,,,service,0,132.7099964,34.4019058,,,
,147,8226362730,,,,,service,0,132.7099996,34.4019565,,,
,148,,,148,,,tertiary,2,132.7074,34.4043071,,,boundary node created by osm2gmns
,149,,,149,,,residential,2,132.7146813,34.4065,,,boundary node created by osm2gmns
,150,1307414214,,,,,residential,0,132.7180205,34.3927484,,,
,151,1307415598,,,,,residential,0,132.7180709,34.3921968,,,
,152,4281527241,,,,,service,0,132.7172043,34.4036512,,,
,153,1307416169,,,,,service,0,132.717304,34.403668,,,
,154,1307420129,,,,,tertiary,0,132.7163197,34.3984148,,,
,155,4281527256,,,,,service,0,132.7162244,34.3983844,,,
,156,,,156,,,service,2,132.7074,34.4019264,,,boundary node created by osm2gmns
,157,,,157,,,unclassified,2,132.7187653,34.4065,,,boundary node created by osm2gmns
,158,1307420823,,158,,,unclassified,2,132.718776,34.406472,,,
,159,8226362735,,,,,service,0,132.709975,34.400944,,,
,160,8226362734,,,,,service,0,132.7099689,34.4010124,,,
,161,8226362733,,,,,service,0,132.7099921,34.4010974,,,
,162,8226362732,,,,,service,0,132.7099937,34.4017761,,,
,163,1910084856,,163,,,service,2,132.7153102,34.3940604,,,
,164,1307416287,,,,,service,0,132.717056,34.402913,,,
,165,1910807694,,,,,service,0,132.7164274,34.4022615,,,
,166,4281527510,,,,,service,0,132.7164239,34.4020522,,,
,167,567283906,,,,,service,0,132.7164155,34.4015697,,,
,168,1910808964,,168,,,footway,1,132.7118289,34.4007332,,,
,169,1910808961,,169,,,footway,-1,132.7120166,34.4006579,,,
,170,1910809302,,170,,,footway,1,132.7127059,34.4005849,,,
,171,1910809301,,171,,,footway,-1,132.7128749,34.4005495,,,
,172,1910810586,,,,,footway,0,132.7112575,34.4013019,,,
,173,1910810588,,173,,,footway,-1,132.7112522,34.4014878,,,
,174,1910811040,,174,,,footway,1,132.7109411,34.4026076,,,
,175,1910813173,,175,,,footway,1,132.7120059,34.4031875,,,
,176,1910813172,,176,,,footway,-1,132.7122366,34.4032494,,,
,177,1910813624,,177,,,footway,1,132.7126362,34.4028112,,,
,178,1910813623,,178,,,footway,-1,132.7126389,34.402643,,,
,179,1910814117,,179,,,footway,1,132.7142697,34.4033136,,,
,180,1910814116,,180,,,footway,-1,132.7143051,34.4033393,,,
,181,1910814837,,181,,,footway,1,132.7117122,34.3985897,,,
,182,1910814835,,182,,,footway,-1,132.7117725,34.39852,,,
,183,1910815028,,183,,,footway,1,132.7112763,34.398582,,,
,184,1910815029,,184,,,footway,-1,132.7113783,34.3985554,,,
,185,1928823986,,,,,service,0,132.7124911,34.4044647,,,
,186,1928823994,,186,,,service,2,132.7122598,34.4032552,,,
,187,1928825010,,,,,service,0,132.7124868,34.4043501,,,
,188,4102447698,,,,,footway,0,132.7125033,34.4046507,,,
,189,4102447699,,,,,service,0,132.7129701,34.4046395,,,
,190,1928824737,,,,,service,0,132.7126933,34.4042113,,,
,191,268204305,,,,,tertiary,0,132.7083252,34.4049725,,,
,192,,,192,,,tertiary,2,132.7074,34.4044336,,,boundary node created by osm2gmns
,193,308183404,,,,,tertiary,0,132.7191816,34.3924696,,,
,194,5245995435,,,,,tertiary,0,132.7191636,34.3920795,,,
,195,,,195,,,tertiary,2,132.7191396,34.3917,,,boundary node created by osm2gmns
,196,4102447754,,,,,tertiary,0,132.7166954,34.4055971,,,
,197,6517642089,crossing,,,,tertiary,0,132.7173119,34.4037657,,,
,198,3623287274,,,,,tertiary,0,132.7173377,34.40368,,,
,199,6517642088,crossing,,,,tertiary,0,132.7173725,34.4035625,,,
,200,6517642087,crossing,,,,tertiary,0,132.7170963,34.4013169,,,
,201,567283893,,,,,tertiary,0,132.7170432,34.4012598,,,
,202,6517642086,crossing,,,,tertiary,0,132.7169394,34.4011532,,,
,203,,,203,,,primary,2,132.7080716,34.4065,,,boundary node created by osm2gmns
,204,4005445051,,,,,primary,0,132.7083313,34.4016576,,,
,205,273719250,,,,,primary,0,132.7083203,34.4014532,,,
,206,4285810288,crossing,,,,primary,0,132.7101876,34.3968302,,,
,207,,,207,,,primary,2,132.707925,34.4065,,,boundary node created by osm2gmns
,208,3752302980,,208,,,service,2,132.7160652,34.3950612,,,
,209,3752303019,,,,,service,0,132.7178945,34.3956623,,,
,210,3752303051,,,,,service,0,132.7177521,34.3961309,,,
,211,3752303005,,,,,service,0,132.7178891,34.3954378,,,
,212,3752303036,,,,,service,0,132.7178397,34.3958958,,,
,213,,,213,,,primary,2,132.7122235,34.3917,,,boundary node created by osm2gmns
,214,5246313821,,,,,primary,0,132.7121267,34.3918581,,,
,215,5247439038,crossing,,,,primary,0,132.7104309,34.3965747,,,
,216,4005413355,,,,,service,0,132.7124778,34.3985189,,,
,217,4005413363,,217,,,service,2,132.7119566,34.3969858,,,
,218,4005444682,,,,,service,0,132.7109058,34.3969282,,,
,219,4005444991,,,,,service,0,132.7111058,34.3985286,,,
,220,4005445020,,220,,,service,2,132.7117743,34.3988196,,,
,221,4005445037,,,,,service,0,132.7102185,34.3993012,,,
,222,4005445050,,,,,service,0,132.710254,34.3996343,,,
,223,4102447740,,,,,service,0,132.7084524,34.4016564,,,
