name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
国際協力研究科,0,180570267,,college,,,,"POLYGON ((132.7140657 34.3968623, 132.7145753 34.3968756, 132.7145914 34.39661, 132.7143124 34.3965968, 132.7143178 34.3963843, 132.7138994 34.3963843, 132.7138994 34.3965481, 132.7140657 34.3965481, 132.7140657 34.3968623))",POINT (132.7142497 34.3966418),2236.5,24073.6
広島大学 本部,1,180575018,,college,,,,"POLYGON ((132.7146291 34.402916, 132.7151821 34.402909, 132.7151852 34.4032423, 132.7149573 34.4032446, 132.7149617 34.4033511, 132.7148634 34.403353, 132.7148571 34.4032471, 132.7146291 34.4032449, 132.7146291 34.402916))",POINT (132.714907 34.4030908),1986.4,21381.4
西第一福利会館,2,180590774,,college,,,,"POLYGON ((132.7113459 34.401178, 132.7116356 34.40124, 132.7117214 34.4009302, 132.7114532 34.4008726, 132.7113459 34.401178))",POINT (132.7115384 34.4010572),933.3,10046.3
西第二福利会館,3,180591172,,college,,,,"POLYGON ((132.7111796 34.3983806, 132.7111903 34.3979778, 132.711329 34.3979778, 132.7113352 34.3980265, 132.7113995 34.398031, 132.7115658 34.3981637, 132.7115658 34.398301, 132.711421 34.3983054, 132.7114148 34.3983851, 132.7111796 34.3983806))",POINT (132.7113437 34.3981934),1214.9,13077
大学会館,4,180591551,,college,,,,"POLYGON ((132.7127815 34.398398, 132.713025 34.3983993, 132.713029 34.3982708, 132.7131375 34.3982711, 132.7131407 34.3981806, 132.713262 34.398181, 132.7132616 34.3979533, 132.7127826 34.3979531, 132.7127815 34.398398))",POINT (132.7129892 34.3981452),1759.8,18941.8
東福利会館,5,180591625,,college,,,,"POLYGON ((132.7136259 34.4016074, 132.7139665 34.4014746, 132.7138137 34.401209, 132.7137842 34.4012157, 132.7137547 34.4011625, 132.7136688 34.4011869, 132.7137028 34.4012444, 132.7135642 34.4012953, 132.7136062 34.4013706, 132.7134703 34.4014215, 132.7135391 34.4015543, 132.7135803 34.401541, 132.7136259 34.4016074))",POINT (132.7137195 34.4014044),1198.5,12900.2
北第一福利会館,6,180591768,,college,,,,"POLYGON ((132.7140443 34.4028533, 132.7143233 34.4028489, 132.7143286 34.4031587, 132.7140363 34.4031609, 132.7140443 34.4028533))",POINT (132.7141833 34.4030066),898.6,9672.8
北第二福利会館,7,180591830,,college,,,,"POLYGON ((132.7111216 34.4028468, 132.711498 34.40297, 132.7116142 34.4027073, 132.7112522 34.4025789, 132.7111216 34.4028468))",POINT (132.7113702 34.402776),1156.4,12447.9
広島大学保健管理センター,8,180592315,,college,,,,"POLYGON ((132.7108418 34.4012201, 132.7111895 34.4012179, 132.7111878 34.4010519, 132.7108364 34.4010452, 132.7108418 34.4012201))",POINT (132.7110124 34.4011336),607.1,6535.2
広島大学学生プラザ,9,180592780,,college,,,,"POLYGON ((132.710933 34.4004743, 132.7112226 34.4004676, 132.711228 34.4007133, 132.7112727 34.4007376, 132.7113022 34.4007686, 132.7113058 34.400804, 132.7113022 34.4008527, 132.7112843 34.4008859, 132.7112548 34.4009058, 132.7112092 34.4009147, 132.7111744 34.4009213, 132.7111288 34.4009103, 132.7110993 34.4008992, 132.7110778 34.4008837, 132.7110617 34.4008549, 132.7109303 34.4008527, 132.710933 34.4004743))",POINT (132.7111006 34.4006911),1359.4,14632.5
